着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,7,14,サンディブロンド,牝3,55.0,戸崎圭太,1:12.6,,4.2,3.0,466(-12),[東] 田中博康,202406010101
2,4,7,マイネルディレクト,牡3,57.0,丹内祐次,1:12.8,1,8.4,5.0,496(+6),[東] 高橋裕,202406010101
3,8,16,セイウンチドリ,牝3,55.0,三浦皇成,1:13.2,2.1/2,15.3,6.0,446(-6),[東] 村田一誠,202406010101
4,2,4,グリントリッター,セ3,57.0,石川裕紀,1:13.2,クビ,3.9,2.0,420(+2),[東] 深山雅史,202406010101
5,6,12,マニーブルース,牡3,57.0,吉田豊,1:13.3,1,50.9,9.0,458(+4),[東] 小手川準,202406010101
6,8,15,ニシノリピート,牝3,55.0,田辺裕信,1:13.7,2.1/2,42.5,8.0,462(0),[東] 小島茂之,202406010101
7,1,2,ミッキードラマー,牡3,57.0,菊沢一樹,1:13.7,クビ,7.8,4.0,528(+4),[東] 菊沢隆徳,202406010101
8,6,11,イデアガウディ,牡3,57.0,横山武史,1:13.9,3/4,3.3,1.0,484(+6),[東] 中野栄治,202406010101
9,5,9,サナダ,牡3,56.0,佐々木大,1:14.1,1.1/2,15.8,7.0,486(0),[東] 杉浦宏昭,202406010101
10,7,13,クインタレッリ,牡3,56.0,永野猛蔵,1:14.6,3,125.7,12.0,502(+10),[東] 尾形和幸,202406010101
11,5,10,ダイシンペルル,牝3,55.0,大野拓弥,1:14.8,1.1/4,269.0,14.0,468(+6),[東] 小笠倫弘,202406010101
12,4,8,スターリーアイド,牡3,53.0,小林美駒,1:14.9,アタマ,84.6,10.0,440(+8),[東] 鈴木伸尋,202406010101
13,3,5,ラスジャン,牡3,57.0,内田博幸,1:15.3,2.1/2,107.1,11.0,460(-4),[東] 上原博之,202406010101
14,2,3,エテルノアキーロ,牡3,57.0,黛弘人,1:16.2,5,422.9,16.0,456(-4),[東] 中野栄治,202406010101
15,3,6,ツクバアプローズ,牝3,55.0,柴田大知,1:16.2,クビ,235.8,13.0,476(+8),[東] 和田雄二,202406010101
16,1,1,コーストガード,牡3,54.0,佐藤翔馬,1:16.8,3.1/2,421.5,15.0,470(+2),[東] 青木孝文,202406010101
1,6,12,ファイントパーズ,牝3,51.0,小林美駒,1:56.0,,7.3,3.0,460(-10),[東] 鈴木伸尋,202406010102
2,4,7,ゴールドアローン,牝3,55.0,野中悠太,1:56.4,2,43.3,8.0,456(-2),[東] 青木孝文,202406010102
3,6,11,カフェアローロ,牝3,54.0,永野猛蔵,1:56.4,アタマ,14.7,5.0,494(+4),[東] 古賀慎明,202406010102
4,7,14,カピリナ,牝3,55.0,戸崎圭太,1:56.5,1/2,3.0,2.0,468(-8),[東] 田島俊明,202406010102
5,3,6,セージグリーン,牝3,54.0,佐々木大,1:56.7,1.1/4,2.1,1.0,472(-6),[東] 菊川正達,202406010102
6,3,5,ビーナスライズ,牝3,54.0,原優介,1:56.9,1.1/4,10.8,4.0,480(-4),[東] 小手川準,202406010102
7,5,9,ラブショック,牝3,52.0,水沼元輝,1:57.1,1,216.8,14.0,470(+8),[東] 加藤和宏,202406010102
8,4,8,ファーマシャイン,牝3,52.0,小林勝太,1:58.9,大,505.5,16.0,440(-2),[東] 武井亮,202406010102
9,8,15,マツリボタン,牝3,53.0,小林凌大,1:59.3,2.1/2,125.9,11.0,450(-2),[東] 伊藤圭三,202406010102
10,5,10,アートハラン,牝3,55.0,キング,1:59.6,1.3/4,102.7,10.0,442(+4),[東] 大竹正博,202406010102
11,1,1,マーゴットエクラ,牝3,55.0,丸田恭介,1:59.7,クビ,152.8,12.0,458(-2),[東] 伊坂重信,202406010102
12,2,4,クインズスピカ,牝3,55.0,江田照男,2:00.2,3,18.1,6.0,466(+12),[東] 村田一誠,202406010102
13,8,16,ウインアリス,牝3,55.0,キングス,2:00.8,3.1/2,28.2,7.0,460(+8),[東] 上原博之,202406010102
14,2,3,ミルフルール,牝3,55.0,伊藤工真,2:00.8,ハナ,361.9,15.0,482(-4),[東] 伊坂重信,202406010102
15,7,13,オーシンダイヤ,牝3,55.0,津村明秀,2:01.7,5,177.4,13.0,448(-6),[東] 鈴木慎太,202406010102
16,1,2,ニシノフルール,牝3,55.0,大野拓弥,2:03.2,9,49.5,9.0,460(0),[東] 杉浦宏昭,202406010102
1,8,15,フェデラルスタイル,牝3,55.0,津村明秀,1:13.5,,11.2,5.0,388(0),[東] 鈴木伸尋,202406010103
2,6,12,マンウォル,牝3,55.0,菊沢一樹,1:13.5,ハナ,7.7,4.0,434(0),[東] 菊沢隆徳,202406010103
3,3,5,ミューシグ,牝3,55.0,黛弘人,1:13.9,2,121.5,14.0,472(0),[東] 南田美知,202406010103
4,2,4,ジェットブレイク,牡3,57.0,内田博幸,1:13.9,クビ,16.3,6.0,488(0),[東] 斎藤誠,202406010103
5,4,8,ヒカルエリザベス,牝3,55.0,的場勇人,1:14.2,1.3/4,66.2,12.0,478(0),[東] 的場均,202406010103
6,5,10,マンマミーア,牡3,57.0,柴田大知,1:14.5,1.1/2,4.9,3.0,466(0),[東] 深山雅史,202406010103
7,6,11,ニシノデスティーノ,セ3,55.0,小林脩斗,1:14.6,1/2,38.8,9.0,468(0),[東] 武藤善則,202406010103
8,2,3,ケイティブルーム,牝3,52.0,小林勝太,1:14.7,3/4,88.8,13.0,444(0),[東] 小野次郎,202406010103
9,8,16,ホウオウバラード,牡3,57.0,吉田豊,1:14.7,クビ,18.4,7.0,408(0),[東] 田島俊明,202406010103
10,5,9,ビアメントブラスト,牝3,55.0,木幡巧也,1:14.7,ハナ,37.8,8.0,448(0),[東] 本間忍,202406010103
11,4,7,ソウテンノヒカリ,牡3,55.0,藤田菜七,1:15.1,2.1/2,3.0,1.0,470(0),[東] 小笠倫弘,202406010103
12,7,13,ユズノキ,牝3,55.0,ピーヒュ,1:15.3,1,3.9,2.0,456(0),[東] 奥村武,202406010103
13,7,14,アイリータイム,牝3,55.0,荻野極,1:15.4,1/2,48.6,10.0,494(0),[東] 畠山吉宏,202406010103
14,1,2,エルキーオ,牡3,57.0,大野拓弥,1:15.7,1.3/4,62.0,11.0,482(0),[東] 新開幸一,202406010103
15,3,6,キャラメルコード,牝3,55.0,杉原誠人,1:15.7,アタマ,181.5,15.0,390(0),[東] 加藤和宏,202406010103
取,1,1,ガラスノイチゴ,牝3,55.0,武士沢友,,,---,,計不,[東] 小桧山悟,202406010103
1,2,4,マコタイガ,牡3,57.0,吉田豊,1:57.8,,58.6,11.0,496(0),[東] 小野次郎,202406010104
2,3,5,ラブラドライト,牡3,55.0,小林脩斗,1:57.9,クビ,117.6,13.0,472(0),[東] 武藤善則,202406010104
3,1,2,タイキオナード,牡3,56.0,原優介,1:58.1,1.1/2,13.9,6.0,478(0),[東] 高木登,202406010104
4,7,14,プラチナバンド,牡3,57.0,大野拓弥,1:58.2,クビ,13.5,5.0,516(0),[東] 新開幸一,202406010104
5,5,9,レッドスフェーン,セ3,57.0,ピーヒュ,1:58.2,ハナ,7.9,3.0,436(0),[東] 林徹,202406010104
6,8,16,カミノケンシン,牡3,55.0,小林凌大,1:58.9,4,130.2,14.0,474(0),[東] 奥平雅士,202406010104
7,5,10,キツネノヨメイリ,牝3,55.0,菅原明良,1:59.0,クビ,8.7,4.0,492(0),[東] 上原佑紀,202406010104
8,2,3,ネオクラウン,牡3,57.0,津村明秀,1:59.3,2,43.4,10.0,484(0),[東] 鈴木伸尋,202406010104
9,1,1,ノアファラオ,牡3,57.0,柴田善臣,1:59.5,1,148.6,15.0,450(0),[東] 石毛善彦,202406010104
10,4,8,ビッグロゴスルーフ,牡3,57.0,柴田大知,1:59.5,ハナ,96.2,12.0,486(0),[東] 田中剛,202406010104
11,7,13,タルマイサン,牡3,54.0,小林勝太,1:59.7,1.1/4,15.4,7.0,470(0),[東] 加藤士津,202406010104
12,4,7,リムショット,牡3,57.0,キングス,1:59.8,クビ,20.3,8.0,524(0),[東] 中川公成,202406010104
13,8,15,ヴェサリウス,牡3,57.0,丹内祐次,1:59.8,クビ,2.6,1.0,476(0),[東] 菊沢隆徳,202406010104
14,6,11,サザンクーガー,牡3,53.0,小林美駒,1:59.9,1/2,34.2,9.0,500(0),[東] 鈴木伸尋,202406010104
15,3,6,エコロブレード,牡3,57.0,横山武史,2:00.0,1/2,3.7,2.0,440(0),[東] 加藤征弘,202406010104
16,6,12,ダンシングボビー,牡3,57.0,伴啓太,2:00.0,アタマ,162.1,16.0,486(0),[東] 尾形和幸,202406010104
1,8,15,ミッキーラッキー,牡3,57.0,キング,1:59.8,,2.8,1.0,550(+4),[東] 堀宣行,202406010105
2,1,2,マイネルモメンタム,牡3,57.0,石川裕紀,1:59.8,アタマ,7.3,4.0,470(+2),[東] 相沢郁,202406010105
3,4,7,ウイントレメンデス,牡3,57.0,横山武史,1:59.8,ハナ,4.4,3.0,480(+4),[東] 鈴木伸尋,202406010105
4,5,10,ウォータースケイプ,牡3,57.0,戸崎圭太,2:00.3,3,4.2,2.0,554(-2),[東] 宮田敬介,202406010105
5,8,16,ハイラント,牡3,57.0,北村宏司,2:00.4,クビ,306.7,11.0,430(0),[東] 伊藤大士,202406010105
6,6,12,エラン,牡3,57.0,ピーヒュ,2:00.5,3/4,66.9,9.0,452(+2),[東] 蛯名正義,202406010105
7,1,1,ジーティーオウジャ,牡3,57.0,キングス,2:00.6,クビ,34.3,8.0,518(+6),[東] 大竹正博,202406010105
8,3,5,レディマキシマ,牝3,55.0,丹内祐次,2:00.7,1/2,20.6,7.0,480(-6),[東] 中野栄治,202406010105
9,7,13,イモータルバード,牡3,57.0,津村明秀,2:01.0,2,19.8,6.0,476(-2),[東] 栗田徹,202406010105
10,3,6,フェスティヴカレン,牝3,55.0,江田照男,2:01.3,1.3/4,489.1,15.0,448(-6),[東] 天間昭一,202406010105
11,2,4,ネクタール,牝3,52.0,佐藤翔馬,2:01.3,クビ,501.7,16.0,406(-6),[東] 小桧山悟,202406010105
12,2,3,マイネルガンナー,牡3,57.0,柴田大知,2:01.3,クビ,162.1,10.0,460(+12),[東] 畠山吉宏,202406010105
13,7,14,フォローウィンド,牡3,57.0,三浦皇成,2:01.4,1/2,7.3,5.0,510(+14),[東] 鹿戸雄一,202406010105
14,5,9,ハルノドゥミプリエ,牝3,54.0,秋山稔樹,2:02.2,5,444.3,13.0,446(-12),[東] 勢司和浩,202406010105
15,4,8,ゴールデンスロープ,牡3,56.0,永野猛蔵,2:03.5,8,530.0,17.0,444(+10),[東] 小笠倫弘,202406010105
16,8,17,プティキャドウ,牝3,54.0,原優介,2:04.4,5,401.2,12.0,370(-6),[東] 高橋文雅,202406010105
17,6,11,キラーインキラーズ,牡3,53.0,小林美駒,2:14.4,大,485.3,14.0,418(+4),[東] 佐藤吉勝,202406010105
1,6,11,ルーラーリッチ,セ4,57.0,菅原明良,2:36.5,,3.0,1.0,486(-2),[東] 小島茂之,202406010106
2,3,6,ダスク,牡4,57.0,武藤雅,2:37.1,3.1/2,11.2,6.0,466(0),[東] 戸田博文,202406010106
3,1,2,トゥザヒロイン,牝5,56.0,杉原誠人,2:37.2,1/2,56.5,9.0,530(0),[東] 辻哲英,202406010106
4,6,12,キガサ,牝5,56.0,柴田大知,2:37.7,3,39.1,8.0,446(+6),[東] 鈴木慎太,202406010106
5,2,3,コトブキヘスペラス,牡4,57.0,江田照男,2:37.7,アタマ,62.1,10.0,452(0),[東] 金成貴史,202406010106
6,5,9,デリシュレーヌ,牝6,56.0,吉田豊,2:37.8,1/2,8.6,4.0,490(+4),[東] 高橋文雅,202406010106
7,4,8,ゴンドワナ,牡4,56.0,横山琉人,2:38.0,3/4,247.7,15.0,496(0),[東] 小島茂之,202406010106
8,1,1,クロスザルビコン,牡7,55.0,小林勝太,2:38.1,3/4,3.1,2.0,460(0),[東] 大和田成,202406010106
9,7,13,クラウンローゼン,牡4,56.0,原優介,2:38.1,アタマ,145.7,13.0,488(+8),[東] 奥平雅士,202406010106
10,3,5,ポンサン,牡4,57.0,横山和生,2:38.4,2,14.6,7.0,484(0),[東] 小西一男,202406010106
11,2,4,リネンマンボ,牡4,57.0,草野太郎,2:38.7,1.1/2,429.6,16.0,464(+4),[東] 粕谷昌央,202406010106
12,5,10,サトノバトラー,セ6,58.0,キング,2:39.1,2.1/2,9.2,5.0,504(+8),[東] 堀宣行,202406010106
13,8,15,クリスプブリーズ,牡4,56.0,佐々木大,2:39.8,4,106.3,12.0,514(+4),[東] 菊川正達,202406010106
14,4,7,パワーエンブレム,牡5,58.0,宮崎北斗,2:39.8,ハナ,170.2,14.0,506(+4),[東] 中川公成,202406010106
15,7,14,アオイゴールドワン,セ5,58.0,木幡巧也,2:40.6,5,8.3,3.0,488(+16),[東] 牧光二,202406010106
16,8,16,サプライズビュー,牡6,58.0,ピーヒュ,2:46.6,大,78.4,11.0,506(-2),[東] 栗田徹,202406010106
1,4,5,スピリットガイド,牡3,57.0,戸崎圭太,1:07.6,,4.8,3.0,524(+4),[東] 手塚貴久,202406010107
2,3,3,アララララ,牡3,57.0,丹内祐次,1:07.7,1/2,2.7,1.0,440(-8),[東] 清水英克,202406010107
3,6,8,イサチルシーサイド,牡3,57.0,木幡初也,1:07.7,ハナ,26.3,9.0,478(+8),[東] 竹内正洋,202406010107
4,4,4,カイコウ,セ3,57.0,菅原明良,1:08.1,2.1/2,44.0,11.0,452(-12),[東] 田島俊明,202406010107
5,7,11,タイセイフェスタ,牡3,57.0,横山和生,1:08.1,クビ,16.4,5.0,484(0),[東] 高橋裕,202406010107
6,1,1,オンザヴィーナス,牝3,55.0,ピーヒュ,1:08.1,ハナ,21.3,6.0,428(0),[東] 大和田成,202406010107
7,6,9,クールベイビー,牝3,54.0,原優介,1:08.2,1/2,11.8,4.0,470(+4),[東] 矢野英一,202406010107
8,8,13,キョウエイカンセ,牡3,56.0,永野猛蔵,1:08.3,1/2,70.7,12.0,472(+8),[東] 萱野浩二,202406010107
9,5,6,レザンノワール,牡3,57.0,横山武史,1:08.4,クビ,3.2,2.0,474(+6),[東] 伊藤圭三,202406010107
10,7,10,モンレーヴ,牝3,54.0,佐々木大,1:08.5,3/4,24.5,7.0,468(+2),[東] 金成貴史,202406010107
11,8,12,イスラアズール,牡3,53.0,小林美駒,1:08.7,1,25.9,8.0,466(0),[東] 武井亮,202406010107
12,2,2,イツツボシ,牝3,53.0,藤田菜七,1:09.0,2,157.6,13.0,410(0),[東] 本間忍,202406010107
13,5,7,ステラシティ,牝3,55.0,田辺裕信,1:09.1,3/4,42.9,10.0,456(-2),[東] 伊坂重信,202406010107
1,4,8,セイカティターニア,牝4,54.0,横山琉人,1:55.8,,5.6,3.0,410(+2),[東] 相沢郁,202406010108
2,2,4,イージーオンミー,牝4,55.0,石橋脩,1:55.9,3/4,45.7,11.0,444(+16),[東] 中舘英二,202406010108
3,5,10,サイモンポーリア,牝6,56.0,丸山元気,1:56.0,1/2,112.6,14.0,486(+2),[東] 根本康広,202406010108
4,6,11,ミニョンルミエール,牝5,52.0,小林美駒,1:56.1,1/2,12.0,6.0,460(+14),[東] 和田雄二,202406010108
5,7,13,ルージュクレセント,牝4,54.0,佐々木大,1:56.2,1/2,8.6,4.0,452(0),[東] 国枝栄,202406010108
6,3,6,テンホワイトラブ,牝4,53.0,小林凌大,1:56.2,アタマ,33.0,10.0,512(+12),[東] 小西一男,202406010108
7,8,16,ジェイエルフラッグ,牝8,53.0,佐藤翔馬,1:56.2,ハナ,233.7,15.0,452(-2),[東] 小西一男,202406010108
8,6,12,リキサンハート,牝6,56.0,菊沢一樹,1:56.4,3/4,67.8,12.0,512(+12),[東] 奥平雅士,202406010108
9,1,1,ミツカネヴィーナス,牝5,56.0,津村明秀,1:56.6,1.1/2,13.7,7.0,458(+4),[東] 鈴木伸尋,202406010108
10,1,2,シンボリックレルム,牝5,56.0,横山和生,1:56.7,アタマ,4.8,2.0,494(-8),[東] 水野貴広,202406010108
11,4,7,ランスノーブル,牝4,55.0,田辺裕信,1:56.9,1.1/2,3.4,1.0,456(+2),[東] 上原博之,202406010108
12,3,5,アステロイドメア,牝4,55.0,三浦皇成,1:56.9,クビ,9.6,5.0,488(+6),[東] 武市康男,202406010108
13,7,14,スピリチュアル,牝4,53.0,小林脩斗,1:57.0,3/4,98.3,13.0,434(-4),[東] 武藤善則,202406010108
14,8,15,ラズライト,牝5,53.0,小林勝太,1:57.2,1.1/4,16.2,8.0,448(-4),[東] 松山将樹,202406010108
15,2,3,ウェンダヴズクライ,牝4,53.0,藤田菜七,1:58.7,9,272.0,16.0,416(+4),[東] 根本康広,202406010108
16,5,9,バイロイト,牝5,56.0,丹内祐次,2:01.1,大,21.0,9.0,490(+10),[東] 栗田徹,202406010108
1,8,8,アドマイヤハレー,牡6,58.0,丹内祐次,2:11.8,,12.7,5.0,474(+10),[東] 宮田敬介,202406010109
2,2,2,ジオフロント,牡6,58.0,ピーヒュ,2:12.0,1.1/2,5.6,2.0,466(-4),[西] 清水久詞,202406010109
3,7,7,サンセットクラウド,牡5,58.0,横山武史,2:12.1,クビ,6.7,3.0,462(0),[西] 矢作芳人,202406010109
4,3,3,セイウンプラチナ,牡5,58.0,原優介,2:12.2,1/2,18.9,6.0,526(+12),[東] 小桧山悟,202406010109
5,1,1,ビューティーウェイ,牝6,56.0,菅原明良,2:12.2,クビ,6.7,4.0,442(-2),[西] 西園翔太,202406010109
6,6,6,ダニーデン,牡4,57.0,戸崎圭太,2:12.2,クビ,1.5,1.0,502(-10),[東] 辻哲英,202406010109
7,4,4,ラーテル,セ4,57.0,丸田恭介,2:13.4,7,158.5,7.0,466(0),[東] 南田美知,202406010109
取,5,5,ロードプレジール,牡6,58.0,三浦皇成,,,---,,計不,[西] 中内田充,202406010109
1,1,1,キャプテンシー,牡3,57.0,キング,1:32.5,,3.8,2.0,462(0),[西] 松永幹夫,202406010110
2,4,4,チャンネルトンネル,牡3,57.0,松岡正海,1:32.9,2,10.4,5.0,484(+16),[東] 堀内岳志,202406010110
3,3,3,ポッドテオ,牡3,57.0,北村宏司,1:33.1,1.1/2,3.6,1.0,470(0),[東] 畠山吉宏,202406010110
4,2,2,アレンジャー,牡3,57.0,横山典弘,1:33.1,クビ,15.1,8.0,472(+8),[西] 昆貢,202406010110
5,6,6,ソニックライン,牡3,57.0,キングス,1:33.1,アタマ,6.1,4.0,496(+4),[東] 木村哲也,202406010110
6,8,9,エイムフォーエース,牡3,57.0,本田正重,1:33.3,1.1/4,268.5,10.0,434(-9),[地] 山下貴之,202406010110
7,7,8,シンドリームシン,牡3,57.0,田辺裕信,1:33.9,3.1/2,14.0,6.0,472(-8),[西] 武幸四郎,202406010110
8,5,5,チザルピーノ,牡3,57.0,佐々木大,1:33.9,アタマ,21.1,9.0,476(-2),[東] 堀宣行,202406010110
9,7,7,ボーモンド,牡3,57.0,戸崎圭太,1:34.2,2,4.9,3.0,484(+6),[東] 国枝栄,202406010110
10,8,10,カズゴルティス,牡3,57.0,ピーヒュ,1:34.3,1/2,14.1,7.0,498(-10),[西] 杉山晴紀,202406010110
1,2,3,リカンカブール,牡5,56.0,津村明秀,1:58.9,,7.8,5.0,494(-12),[西] 田中克典,202406010111
2,4,7,ククナ,牝6,54.0,戸崎圭太,1:59.0,1/2,15.4,8.0,468(+6),[東] 栗田徹,202406010111
3,8,15,マイネルクリソーラ,牡5,55.0,Ｍ．デム,1:59.1,クビ,11.1,6.0,458(+4),[東] 中野栄治,202406010111
4,4,8,ボーンディスウェイ,牡5,55.0,木幡巧也,1:59.2,3/4,4.8,2.0,490(0),[東] 牧光二,202406010111
5,6,12,ホウオウアマゾン,牡6,58.0,横山武史,1:59.3,1/2,113.8,14.0,512(-4),[西] 矢作芳人,202406010111
6,3,6,クリノプレミアム,牝7,55.5,松岡正海,1:59.3,クビ,36.0,10.0,488(+2),[東] 伊藤伸一,202406010111
7,5,10,マテンロウレオ,牡5,58.5,横山典弘,1:59.3,ハナ,7.0,3.0,482(-2),[西] 昆貢,202406010111
8,7,13,カテドラル,牡8,58.5,荻野極,1:59.4,3/4,184.0,17.0,488(-4),[西] 池添学,202406010111
9,6,11,ゴールデンハインド,牝4,54.0,菅原明良,1:59.5,アタマ,7.3,4.0,498(+6),[東] 武市康男,202406010111
10,3,5,マイネルファンロン,牡9,56.0,丸山元気,1:59.5,アタマ,134.6,15.0,490(+10),[東] 手塚貴久,202406010111
11,2,4,エピファニー,牡5,57.0,ピーヒュ,1:59.5,クビ,4.1,1.0,506(-6),[東] 宮田敬介,202406010111
12,5,9,サクラトゥジュール,牡7,57.0,キング,1:59.6,1/2,16.2,9.0,526(+22),[東] 堀宣行,202406010111
13,1,2,アラタ,牡7,58.0,横山和生,1:59.6,アタマ,12.2,7.0,480(+10),[東] 和田勇介,202406010111
14,1,1,キタウイング,牝4,53.0,杉原誠人,1:59.7,1/2,69.0,12.0,434(+2),[東] 小島茂之,202406010111
15,7,14,カレンシュトラウス,牡7,56.0,藤懸貴志,1:59.8,クビ,144.1,16.0,520(-2),[西] 平田修,202406010111
16,8,16,サトノエルドール,牡8,56.0,三浦皇成,1:59.9,1/2,100.2,13.0,482(+10),[東] 国枝栄,202406010111
17,8,17,エミュー,牝4,54.0,佐々木大,2:02.7,大,61.2,11.0,422(-4),[東] 和田正一,202406010111
1,4,8,クインズミモザ,牝6,56.0,野中悠太,1:53.4,,17.9,7.0,514(+8),[東] 池上昌和,202406010112
2,3,5,リチャ,牡4,57.0,戸崎圭太,1:53.5,3/4,3.9,2.0,492(+8),[東] 田中博康,202406010112
3,7,14,アイファーエポック,牡5,55.0,小林勝太,1:53.5,ハナ,22.0,8.0,488(+2),[東] 根本康広,202406010112
4,6,12,タマモロック,牡4,56.0,永野猛蔵,1:53.7,1.1/4,5.6,3.0,502(+8),[東] 伊藤圭三,202406010112
5,2,3,アイアムイチリュウ,牡7,58.0,菅原隆一,1:54.0,2,36.2,10.0,522(+6),[東] 奥平雅士,202406010112
6,7,13,タケルペガサス,牡6,58.0,横山武史,1:54.0,クビ,2.8,1.0,492(+6),[東] 加藤征弘,202406010112
7,3,6,フリーフロー,牡7,58.0,丸田恭介,1:54.1,アタマ,72.6,12.0,482(+4),[東] 宗像義忠,202406010112
8,6,11,クロースコンバット,牡5,58.0,ピーヒュ,1:54.1,ハナ,24.7,9.0,510(+4),[東] 青木孝文,202406010112
9,8,15,ファイヴレター,牡7,58.0,黛弘人,1:54.1,アタマ,223.8,14.0,474(+10),[東] 佐藤吉勝,202406010112
10,4,7,ウインジョイフル,牡7,58.0,内田博幸,1:54.5,2.1/2,359.5,16.0,494(-8),[東] 鈴木慎太,202406010112
11,1,1,セラフィナイト,牡6,58.0,荻野極,1:54.6,1/2,15.1,5.0,456(+2),[東] 宮田敬介,202406010112
12,8,16,フォーワンセルフ,牡5,57.0,原優介,1:54.6,クビ,95.1,13.0,536(+12),[東] 小桧山悟,202406010112
13,5,10,シグナルファイアー,牝4,55.0,武士沢友,1:55.2,3.1/2,38.0,11.0,480(+10),[東] 水野貴広,202406010112
14,2,4,リバーサルバレット,牡5,58.0,菅原明良,1:55.3,1/2,9.0,4.0,496(+4),[東] 久保田貴,202406010112
15,1,2,アレクサ,牡4,57.0,丹内祐次,1:56.0,4,15.2,6.0,514(+12),[東] 斎藤誠,202406010112
16,5,9,マイネルイリャルギ,牡7,57.0,佐々木大,1:59.0,大,269.9,15.0,536(+16),[東] 高橋裕,202406010112
1,4,8,ライングッドマン,牡3,57.0,武藤雅,1:12.5,,4.6,3.0,470(0),[東] 武藤善則,202406010201
2,8,16,イーサンハンター,牡3,57.0,坂井瑠星,1:12.6,1/2,4.4,2.0,500(-2),[東] 中野栄治,202406010201
3,1,2,オモカゲジョー,牡3,57.0,江田照男,1:13.3,4,25.2,7.0,488(-2),[東] 奥平雅士,202406010201
4,5,9,タマエスポワール,牡3,57.0,石川裕紀,1:13.3,アタマ,9.4,5.0,508(0),[東] 相沢郁,202406010201
5,8,15,ヨリナエスポワール,牡3,57.0,木幡巧也,1:13.3,ハナ,5.5,4.0,528(0),[東] 牧光二,202406010201
6,7,13,フジゴウキャク,牡3,57.0,丹内祐次,1:13.3,アタマ,3.1,1.0,482(+2),[東] 岩戸孝樹,202406010201
7,3,5,ホウオウフロイト,牡3,57.0,杉原誠人,1:13.5,3/4,100.0,10.0,434(-4),[東] 加藤和宏,202406010201
8,2,3,エコロセブン,牡3,57.0,丸山元気,1:13.8,2,455.1,15.0,500(+12),[東] 根本康広,202406010201
9,6,12,サンウイキョウ,牡3,56.0,秋山稔樹,1:14.1,1.3/4,41.4,8.0,448(0),[東] 蛯名利弘,202406010201
10,7,14,デルミオクオーレ,牡3,56.0,佐々木大,1:14.2,クビ,133.0,12.0,448(+6),[東] 村田一誠,202406010201
11,3,6,ペイシャツネ,牡3,53.0,小林美駒,1:14.3,1/2,11.0,6.0,456(+6),[東] 深山雅史,202406010201
12,4,7,ケイツーレオン,牡3,57.0,黛弘人,1:14.4,1/2,110.8,11.0,458(0),[東] 鈴木伸尋,202406010201
13,2,4,ユイノグランコード,牡3,57.0,木幡初也,1:14.5,1/2,192.3,13.0,476(+18),[東] 深山雅史,202406010201
14,5,10,サルバシオン,牡3,57.0,菊沢一樹,1:14.8,2,456.7,16.0,450(+2),[東] 青木孝文,202406010201
15,1,1,ブルパーチェ,セ3,57.0,野中悠太,1:15.5,4,99.3,9.0,506(+10),[東] 高橋裕,202406010201
中,6,11,シュトウルム,牡3,56.0,原優介,,,407.2,14.0,478(+10),[東] 小桧山悟,202406010201
1,7,14,アムールドパリ,牝3,55.0,丸田恭介,1:55.9,,1.4,1.0,448(0),[東] 稲垣幸雄,202406010202
2,5,10,クォーツァイト,牝3,55.0,斎藤新,1:56.7,5,10.2,3.0,450(-2),[東] 斎藤誠,202406010202
3,1,1,ビップレーヌ,牝3,55.0,横山武史,1:57.3,3.1/2,13.2,4.0,466(+6),[東] 高柳瑞樹,202406010202
4,3,6,コパノエビータ,牝3,55.0,武藤雅,1:57.9,3.1/2,82.8,10.0,406(+6),[東] 手塚貴久,202406010202
5,6,11,ルージュアベリア,牝3,55.0,坂井瑠星,1:57.9,クビ,4.8,2.0,488(+2),[東] 田中博康,202406010202
6,2,3,ライトピラー,牝3,55.0,江田照男,1:58.2,2,446.0,16.0,494(-2),[東] 村田一誠,202406010202
7,6,12,プレシュラージュ,牝3,55.0,内田博幸,1:58.2,ハナ,166.8,13.0,452(-2),[東] 田中剛,202406010202
8,8,16,タマモポロネーズ,牝3,54.0,永野猛蔵,1:58.4,3/4,42.3,7.0,446(-2),[東] 伊藤圭三,202406010202
9,2,4,ギースバッハ,牝3,55.0,吉田豊,1:58.6,1.1/2,28.2,5.0,452(-4),[東] 加藤征弘,202406010202
10,5,9,ツインクルステージ,牝3,55.0,菅原明良,1:58.7,1/2,40.5,6.0,500(+4),[東] 高木登,202406010202
11,8,15,サンセットブライト,牝3,54.0,横山琉人,1:58.8,1/2,42.5,8.0,498(+8),[東] 相沢郁,202406010202
12,3,5,アパイシュナール,牝3,55.0,丹内祐次,2:00.0,7,76.2,9.0,454(-4),[東] 田村康仁,202406010202
13,4,7,ミユキアテスウェイ,牝3,55.0,原田和真,2:00.1,3/4,307.1,14.0,456(-2),[東] 小野次郎,202406010202
14,4,8,ベアエンジェル,牝3,52.0,小林勝太,2:01.0,5,417.9,15.0,472(0),[東] 杉浦宏昭,202406010202
15,7,13,バエル,牝3,54.0,佐々木大,2:01.2,1.1/2,146.7,12.0,442(-4),[東] 伊坂重信,202406010202
16,1,2,ウインブリエ,牝3,55.0,松岡正海,2:01.5,1.1/2,85.7,11.0,484(+10),[東] 和田正一,202406010202
