着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師,race_id
8,1,2,デルマシャンパン,牝7,55.0,大野拓弥,1:14.0,2,40.4,9.0,484(+4),[東] 鹿戸雄一,202206020208
9,3,5,マルティウス,牡4,57.0,横山武史,1:14.0,ハナ,22.3,7.0,460(+2),[東] 鈴木伸尋,202206020208
10,5,10,ケプチャン,牡4,57.0,嶋田純次,1:14.1,クビ,230.9,13.0,492(0),[東] 石毛善彦,202206020208
11,6,11,キョウエイロナ,牝4,53.0,山田敬士,1:14.1,ハナ,528.8,16.0,434(+12),[東] 萱野浩二,202206020208
12,4,8,アウリガテソーロ,牡4,57.0,西村淳也,1:14.1,クビ,32.6,8.0,496(-8),[東] 加藤士津,202206020208
13,2,4,トーセンアマンダ,牝4,55.0,菊沢一樹,1:14.5,2,514.9,15.0,474(+10),[東] 南田美知,202206020208
14,4,7,エターナルピース,牝4,55.0,野中悠太,1:14.6,1/2,7.9,4.0,488(+16),[東] 和田正一,202206020208
15,5,9,ダミアン,牡4,57.0,石川裕紀,1:14.7,3/4,16.2,6.0,502(+4),[東] 斎藤誠,202206020208
16,1,1,ラブリークイーン,牝4,52.0,横山琉人,1:16.0,8,157.7,12.0,466(0),[東] 田中清隆,202206020208
1,1,1,ルージュエヴァイユ,牝3,54.0,戸崎圭太,1:48.4,,1.9,1.0,450(-2),[東] 黒岩陽一,202206020209
2,6,6,サンカルパ,牝3,54.0,津村明秀,1:48.4,クビ,14.5,5.0,478(0),[東] 田中博康,202206020209
3,4,4,オンリーオピニオン,牝3,54.0,柴田大知,1:48.8,2,4.9,2.0,482(-6),[東] 伊藤大士,202206020209
4,8,9,ラスマドレス,牝3,54.0,西村淳也,1:48.9,3/4,5.0,3.0,442(0),[西] 安田隆行,202206020209
5,3,3,ダノンティアラ,牝3,54.0,川田将雅,1:49.0,クビ,5.7,4.0,436(+8),[東] 大竹正博,202206020209
6,5,5,ラブパイロー,牝3,54.0,野中悠太,1:49.2,1.1/4,78.0,8.0,472(-6),[東] 大和田成,202206020209
7,8,8,ニシノメグレス,牝3,54.0,内田博幸,1:49.5,1.3/4,47.3,7.0,410(-4),[東] 萱野浩二,202206020209
8,2,2,メイプルシスター,牝3,54.0,吉田豊,1:52.1,大,285.3,9.0,470(+2),[東] 南田美知,202206020209
9,7,7,ルミネイト,牝3,54.0,横山武史,1:52.6,3,15.1,6.0,488(-12),[西] 千田輝彦,202206020209
1,7,13,ハコダテブショウ,牡4,55.0,石川裕紀,1:11.1,,4.7,2.0,496(-4),[東] 相沢郁,202206020210
2,3,6,カイアワセ,牝5,53.0,戸崎圭太,1:11.1,アタマ,9.1,5.0,454(-2),[東] 鈴木慎太,202206020210
3,8,16,ジゲン,牡5,56.0,田辺裕信,1:11.4,1.3/4,7.5,4.0,458(0),[西] 浅見秀一,202206020210
4,8,15,ラホーヤノキセキ,牡8,56.0,森一馬,1:11.4,アタマ,21.6,9.0,510(+10),[西] 松永昌博,202206020210
5,7,14,フィルストバーン,セ6,54.0,内田博幸,1:11.5,クビ,68.0,14.0,472(+2),[東] 斎藤誠,202206020210
6,1,1,アウトウッズ,牡5,55.0,津村明秀,1:11.5,クビ,6.5,3.0,528(+6),[西] 浅見秀一,202206020210
7,1,2,ジャスパーイーグル,牡5,54.0,Ｍ．デム,1:11.6,クビ,50.0,12.0,510(+2),[西] 森秀行,202206020210
8,5,10,ニシノライトニング,牡4,54.0,野中悠太,1:11.7,3/4,12.0,7.0,514(0),[東] 根本康広,202206020210
9,6,11,ディスモーメント,牡6,55.0,石橋脩,1:12.0,1.3/4,19.6,8.0,538(+4),[東] 宮田敬介,202206020210
10,2,4,レジェモー,牝5,52.0,北村宏司,1:12.1,1/2,106.6,15.0,442(0),[西] 杉山佳明,202206020210
11,5,9,スワーヴシャルル,牡6,56.0,川田将雅,1:12.1,クビ,3.7,1.0,484(-4),[西] 安田隆行,202206020210
12,3,5,アスタースウィング,牡8,54.0,横山琉人,1:12.2,クビ,173.3,16.0,518(-8),[西] 中竹和也,202206020210
13,2,3,ノアヴィグラス,牝4,52.0,吉田豊,1:12.2,クビ,46.0,11.0,476(+12),[東] 古賀史生,202206020210
14,4,7,クインズレモン,牝4,52.0,菅原明良,1:12.4,3/4,35.3,10.0,500(0),[西] 新谷功一,202206020210
15,4,8,ステラータ,牝5,53.0,丸山元気,1:12.5,1/2,61.8,13.0,486(+4),[西] 森秀行,202206020210
16,6,12,イディオム,牡4,55.0,西村淳也,1:12.6,3/4,11.7,6.0,482(-4),[東] 斎藤誠,202206020210
1,3,5,パンサラッサ,牡5,56.0,吉田豊,1:46.4,,4.4,2.0,482(+2),[西] 矢作芳人,202206020211
2,6,11,カラテ,牡6,56.0,菅原明良,1:46.8,2.1/2,6.7,4.0,534(0),[東] 高橋祥泰,202206020211
3,6,12,アドマイヤハダル,牡4,55.0,横山武史,1:46.8,クビ,5.5,3.0,488(+2),[西] 大久保龍,202206020211
4,2,3,ガロアクリーク,牡5,56.0,田辺裕信,1:47.2,2,26.9,8.0,522(+12),[東] 上原博之,202206020211
5,4,7,ウインイクシード,牡8,56.0,松岡正海,1:47.4,1.1/4,17.3,6.0,498(-2),[東] 鈴木伸尋,202206020211
6,2,4,ヒュミドール,セ6,56.0,Ｍ．デム,1:47.7,1.1/2,13.3,5.0,472(+4),[東] 小手川準,202206020211
7,8,15,ダノンザキッド,牡4,55.0,川田将雅,1:47.8,3/4,2.6,1.0,522(-6),[西] 安田隆行,202206020211
8,8,16,ワールドウインズ,セ5,56.0,田中勝春,1:47.8,ハナ,146.3,14.0,460(-8),[西] 武幸四郎,202206020211
9,3,6,レッドサイオン,セ6,56.0,木幡育也,1:47.9,3/4,93.8,12.0,436(0),[東] 藤沢和雄,202206020211
10,7,14,コントラチェック,牝6,54.0,丸山元気,1:48.0,クビ,17.5,7.0,478(+2),[東] 藤沢和雄,202206020211
11,7,13,ワールドリバイバル,牡4,55.0,津村明秀,1:48.2,1.1/2,128.0,13.0,520(+8),[西] 牧田和弥,202206020211
12,4,8,マルターズディオサ,牝5,54.0,戸崎圭太,1:48.3,3/4,37.0,9.0,454(+2),[東] 手塚貴久,202206020211
13,1,1,ソッサスブレイ,セ8,56.0,柴田大知,1:48.6,1.3/4,222.6,16.0,454(-4),[東] 粕谷昌央,202206020211
14,5,10,ルフトシュトローム,牡5,56.0,石橋脩,1:49.0,2.1/2,170.0,15.0,504(+4),[東] 堀宣行,202206020211
15,5,9,ゴーフォザサミット,セ7,56.0,北村宏司,1:50.5,9,86.7,11.0,518(+2),[東] 藤沢和雄,202206020211
16,1,2,トーラスジェミニ,牡6,56.0,西村淳也,1:50.7,1.1/2,66.3,10.0,472(-4),[東] 小桧山悟,202206020211
1,7,12,ロンコーネ,牡4,56.0,戸崎圭太,1:55.1,,3.1,2.0,488(-6),[東] 岩戸孝樹,202206020212
2,1,1,ヨンク,牡6,57.0,三浦皇成,1:55.1,ハナ,32.1,8.0,502(0),[東] 小笠倫弘,202206020212
3,5,8,アベックフォルス,牡5,57.0,西村淳也,1:55.1,クビ,139.7,14.0,486(+2),[東] 加藤士津,202206020212
4,8,15,ダイワドノヴァン,セ8,57.0,田辺裕信,1:55.4,1.1/2,9.0,3.0,534(0),[東] 池上昌和,202206020212
5,3,5,アナンシエーション,牡4,56.0,石川裕紀,1:55.5,3/4,1.9,1.0,514(-4),[東] 手塚貴久,202206020212
6,2,2,ヤマニンバンタジオ,セ8,57.0,吉田豊,1:55.6,アタマ,45.2,10.0,540(+2),[東] 田島俊明,202206020212
7,6,10,コスモオリ,牡5,57.0,津村明秀,1:55.6,クビ,26.3,6.0,466(-4),[東] 高橋祥泰,202206020212
8,5,9,ゴールドフレーム,セ6,57.0,北村宏司,1:56.3,4,34.4,9.0,478(0),[東] 新開幸一,202206020212
9,8,14,フーズサイド,牡6,57.0,菊沢一樹,1:56.4,1/2,112.1,12.0,502(-6),[東] 堀井雅広,202206020212
10,2,3,ルドヴィクス,牡4,56.0,菅原明良,1:57.1,4,13.4,4.0,522(+6),[東] 久保田貴,202206020212
11,6,11,ロングラン,セ4,56.0,大野拓弥,1:57.4,2,21.8,5.0,482(-8),[東] 和田勇介,202206020212
12,3,4,フューリアス,牡4,53.0,小林脩斗,1:57.9,2.1/2,115.2,13.0,438(-14),[東] 村田一誠,202206020212
13,4,6,ダルムシュタット,セ5,57.0,丸山元気,1:57.9,アタマ,242.4,15.0,476(-4),[東] 栗田徹,202206020212
14,4,7,ルヴェルソー,牝5,55.0,内田博幸,1:58.2,2,27.7,7.0,458(-4),[東] 田中博康,202206020212
15,7,13,フォギーデイ,牝5,52.0,横山琉人,1:58.3,1/2,97.2,11.0,472(-14),[東] 水野貴広,202206020212
1,8,15,スマイルオンミー,牝3,54.0,内田博幸,1:56.4,,1.4,1.0,528(+12),[東] 尾関知人,202206020301
2,3,5,ファイアリースカイ,牝3,54.0,田辺裕信,1:57.0,3.1/2,48.8,9.0,454(0),[東] 和田勇介,202206020301
3,7,13,アスタラグローリア,牝3,51.0,小林凌大,1:57.2,1.1/4,70.6,12.0,428(0),[東] 金成貴史,202206020301
4,2,4,レインツリー,牝3,54.0,菅原明良,1:57.9,4,29.4,6.0,446(0),[東] 中舘英二,202206020301
5,8,16,ランプロファイア,牝3,54.0,北村宏司,1:58.1,1.1/2,27.2,5.0,476(0),[東] 古賀慎明,202206020301
6,5,9,プレミアムクイーン,牝3,54.0,大野拓弥,1:58.3,3/4,5.3,2.0,490(0),[東] 牧光二,202206020301
7,6,12,ホイットニー,牝3,54.0,丹内祐次,1:58.3,アタマ,59.2,11.0,478(0),[東] 矢野英一,202206020301
8,5,10,ブエナスエルテ,牝3,54.0,勝浦正樹,1:58.3,クビ,13.9,4.0,504(-6),[東] 西田雄一,202206020301
9,2,3,ノーブルグレイシャ,牝3,51.0,土田真翔,1:58.5,1,37.2,7.0,466(-4),[東] 武藤善則,202206020301
10,3,6,ドリーマーイモン,牝3,54.0,柴田大知,1:58.6,1/2,342.3,16.0,438(-6),[東] 松山将樹,202206020301
11,1,1,キョウエイパーリオ,牝3,54.0,武士沢友,1:58.6,アタマ,11.4,3.0,486(0),[東] 中川公成,202206020301
12,1,2,イサチルウキウキ,牝3,54.0,木幡初也,1:59.1,3,51.3,10.0,460(+8),[東] 竹内正洋,202206020301
13,7,14,エリーピコット,牝3,54.0,木幡育也,1:59.1,ハナ,41.3,8.0,500(+10),[東] 岩戸孝樹,202206020301
14,4,7,ユッキーノ,牝3,54.0,津村明秀,1:59.2,1/2,129.4,14.0,486(0),[東] 鈴木慎太,202206020301
15,4,8,キーエデン,牝3,51.0,小林脩斗,1:59.2,クビ,121.2,13.0,454(0),[東] 黒岩陽一,202206020301
16,6,11,チュウワフラワー,牝3,51.0,横山琉人,1:59.7,3,189.4,15.0,466(+10),[東] 林徹,202206020301
1,4,7,ミラビリス,牝3,54.0,斎藤新,1:12.2,,3.2,2.0,440(-4),[東] 斎藤誠,202206020302
2,6,12,オーブラック,牡3,56.0,丹内祐次,1:12.3,3/4,6.0,3.0,496(0),[東] 青木孝文,202206020302
3,7,13,ケイアイユニバース,牡3,56.0,内田博幸,1:12.4,1/2,2.8,1.0,474(0),[東] 上原博之,202206020302
4,2,3,キーチズカンパニー,牡3,56.0,大野拓弥,1:12.6,1,8.6,5.0,486(0),[東] 小手川準,202206020302
5,5,10,シャーマエスパーダ,牡3,56.0,石川裕紀,1:13.5,5,7.4,4.0,480(-10),[東] 高橋裕,202206020302
6,8,16,ミラーレイク,牝3,51.0,小林脩斗,1:13.5,アタマ,113.2,9.0,438(-2),[東] 和田正一,202206020302
7,7,14,ハクサンセレーネ,牝3,54.0,木幡育也,1:13.8,1.3/4,73.0,8.0,422(-12),[東] 新開幸一,202206020302
8,8,15,ブラザリーラヴ,牡3,56.0,田辺裕信,1:14.4,3.1/2,8.9,6.0,426(0),[東] 大竹正博,202206020302
9,5,9,コパノランサー,牡3,53.0,横山琉人,1:14.6,1,58.0,7.0,514(-6),[東] 武藤善則,202206020302
10,4,8,ノボマジック,牡3,56.0,吉田豊,1:14.6,クビ,325.0,14.0,480(+4),[東] 小野次郎,202206020302
11,6,11,ケイツークローナ,牡3,55.0,秋山稔樹,1:15.4,5,374.8,15.0,464(0),[東] 深山雅史,202206020302
12,2,4,ディバインシチー,牡3,56.0,北村宏司,1:15.5,3/4,193.7,11.0,444(-6),[東] 古賀慎明,202206020302
13,3,5,サノワン,牡3,53.0,土田真翔,1:16.0,3,153.8,10.0,462(+2),[東] 尾形和幸,202206020302
14,1,1,カシノハートフル,牝3,51.0,佐々木大,1:16.8,5,248.1,12.0,398(-22),[東] 蛯名利弘,202206020302
15,3,6,サテンスキー,牝3,52.0,山田敬士,1:16.9,1/2,438.5,16.0,482(0),[東] 小桧山悟,202206020302
中,1,2,ワードセンス,牝3,54.0,木幡初也,,,298.3,13.0,492(0),[東] 竹内正洋,202206020302
1,2,4,セイカフォルゴーレ,牡3,56.0,石川裕紀,1:55.7,,2.2,1.0,500(-6),[東] 相沢郁,202206020303
2,7,14,ハローサブリナ,牝3,54.0,鮫島克駿,1:56.6,5,13.3,4.0,508(+6),[東] 黒岩陽一,202206020303
3,8,16,クオーレドーロ,牝3,54.0,大野拓弥,1:56.9,1.3/4,5.6,3.0,450(0),[東] 上原博之,202206020303
4,7,13,マヨン,牡3,56.0,菅原明良,1:56.9,クビ,28.8,9.0,472(+12),[東] 武井亮,202206020303
5,4,7,リゼレインボー,牡3,56.0,内田博幸,1:57.2,2,3.8,2.0,496(+8),[東] 松山将樹,202206020303
6,1,1,フィズアップ,牡3,56.0,菊沢一樹,1:57.5,1.3/4,26.2,8.0,486(+8),[東] 小野次郎,202206020303
7,8,15,ブルーシグナル,牡3,53.0,小林脩斗,1:57.6,1/2,22.3,7.0,454(+2),[東] 和田雄二,202206020303
8,4,8,アドーニス,牡3,56.0,江田照男,1:57.7,アタマ,49.4,10.0,444(+2),[東] 田村康仁,202206020303
9,6,11,グラスセービア,牡3,56.0,嶋田純次,1:57.8,1/2,276.7,16.0,484(0),[東] 手塚貴久,202206020303
10,2,3,ニシノブチヌケ,牡3,56.0,丹内祐次,1:57.8,クビ,193.4,14.0,534(-8),[東] 矢野英一,202206020303
11,6,12,ヨウヘンテンモク,牡3,54.0,山田敬士,1:57.9,1/2,227.0,15.0,470(-2),[東] 和田正一,202206020303
12,5,9,スクナ,牡3,56.0,原田和真,1:58.3,2.1/2,16.1,5.0,460(-2),[東] 堀内岳志,202206020303
13,3,6,シャンダス,牡3,56.0,斎藤新,1:58.5,1.1/2,85.1,11.0,460(-20),[東] 杉浦宏昭,202206020303
14,5,10,ウインダ,牡3,56.0,松岡正海,1:58.7,1,16.2,6.0,482(0),[東] 中舘英二,202206020303
15,1,2,シーアンラウフェン,牝3,54.0,津村明秀,1:58.9,1.1/4,148.3,13.0,440(-4),[東] 牧光二,202206020303
16,3,5,ファットーラモーレ,牡3,56.0,丸田恭介,1:59.0,1/2,142.7,12.0,474(0),[東] 大竹正博,202206020303
1,8,8,マイネルグロン,牡4,59.0,五十嵐雄,3:12.6,,1.9,1.0,520(-2),[東] 青木孝文,202206020304
2,5,5,ポートロイヤル,セ6,60.0,伴啓太,3:13.3,4,10.1,4.0,470(-4),[東] 高柳瑞樹,202206020304
3,6,6,ローレリスト,牡5,60.0,石神深一,3:13.8,3,10.4,5.0,470(-4),[東] 中川公成,202206020304
4,1,1,アノ,牡6,60.0,難波剛健,3:13.9,クビ,6.0,3.0,456(+4),[西] 鈴木孝志,202206020304
5,4,4,マイネルツァイト,牡8,60.0,小野寺祐,3:14.4,3,3.7,2.0,526(+2),[東] 大和田成,202206020304
6,3,3,ディープサドラーズ,セ6,60.0,草野太郎,3:15.1,4,16.4,6.0,448(-2),[東] 久保田貴,202206020304
7,2,2,オンザウェイ,牡6,60.0,大江原圭,3:16.2,7,147.3,9.0,548(+10),[東] 大和田成,202206020304
8,7,7,スズカキングボス,セ5,60.0,上野翔,3:17.1,5,33.8,7.0,450(-4),[東] 田中剛,202206020304
9,8,9,イワネコゴシキ,牡6,60.0,蓑島靖典,3:19.6,大,140.1,8.0,524(+16),[東] 小笠倫弘,202206020304
1,3,5,クイーンドライヴ,牝3,54.0,菊沢一樹,1:35.4,,23.2,6.0,408(0),[東] 清水英克,202206020305
2,3,6,サクラオーラ,牝3,54.0,津村明秀,1:35.4,クビ,31.4,7.0,436(0),[東] 田中博康,202206020305
3,6,12,モリノドリーム,牝3,54.0,江田照男,1:35.8,2,10.3,4.0,460(+2),[東] 大江原哲,202206020305
4,4,8,マグマオーシャン,牡3,56.0,戸崎圭太,1:36.2,2.1/2,1.4,1.0,498(+10),[東] 栗田徹,202206020305
5,7,14,ネネ,牝3,51.0,土田真翔,1:36.3,1/2,9.3,3.0,436(-6),[東] 尾形和幸,202206020305
6,6,11,ゴールデンベリル,牝3,52.0,柴田大知,1:36.7,2.1/2,83.7,9.0,428(0),[東] 粕谷昌央,202206020305
7,4,7,ナックメジャー,牡3,56.0,野中悠太,1:36.8,3/4,107.3,10.0,482(+6),[東] 杉浦宏昭,202206020305
8,5,9,パリーアーク,牝3,54.0,田辺裕信,1:36.9,1/2,207.1,12.0,450(0),[東] 稲垣幸雄,202206020305
9,5,10,トーセンヴェリテ,牝3,53.0,亀田温心,1:37.0,1/2,59.1,8.0,454(+2),[東] 深山雅史,202206020305
10,7,13,キタノフランクース,牝3,54.0,丸田恭介,1:37.0,クビ,345.9,15.0,458(0),[東] 石栗龍彦,202206020305
11,2,4,シカゴフットワーク,牡3,56.0,菅原明良,1:37.1,3/4,6.1,2.0,508(-2),[東] 田中博康,202206020305
12,1,2,ニシノキントキ,牡3,53.0,小林凌大,1:37.2,1/2,120.3,11.0,460(0),[東] 小西一男,202206020305
13,1,1,ウマイウマスギル,牡3,54.0,山田敬士,1:37.5,1.1/2,244.0,13.0,430(+8),[東] 佐藤吉勝,202206020305
14,8,15,ビーブルー,牝3,54.0,内田博幸,1:37.7,1.1/2,13.4,5.0,460(+8),[東] 斎藤誠,202206020305
15,2,3,アタビズム,牡3,56.0,武士沢友,1:37.8,3/4,244.1,14.0,444(0),[東] 深山雅史,202206020305
16,8,16,オイルマン,牡3,55.0,秋山稔樹,1:39.8,大,347.1,16.0,468(0),[東] 勢司和浩,202206020305
1,4,8,エピファニー,牡3,56.0,戸崎圭太,1:49.9,,1.5,1.0,520(0),[東] 宮田敬介,202206020306
2,1,2,イルモンド,牝3,54.0,石川裕紀,1:50.0,1,5.8,2.0,466(0),[東] 池上昌和,202206020306
3,5,10,キングズパレス,牡3,56.0,松岡正海,1:50.2,1,28.7,6.0,488(+6),[東] 戸田博文,202206020306
4,3,6,エリオトローピオ,牝3,54.0,丹内祐次,1:50.3,3/4,9.8,3.0,406(+6),[東] 深山雅史,202206020306
5,7,13,ブローヴェイス,牡3,56.0,菊沢一樹,1:50.4,クビ,43.5,9.0,426(-2),[東] 浅野洋一,202206020306
6,2,4,ビーウォーター,牡3,56.0,野中悠太,1:50.6,1.1/4,259.1,15.0,494(0),[東] 小西一男,202206020306
7,8,16,コズミックエッグ,牡3,56.0,内田博幸,1:50.7,1/2,14.9,5.0,464(-6),[東] 斎藤誠,202206020306
8,1,1,フラッシュアーク,牝3,54.0,丸山元気,1:50.8,1/2,31.2,7.0,468(+14),[東] 青木孝文,202206020306
9,3,5,グラジオラス,牝3,54.0,柴田大知,1:51.0,1.1/4,179.0,13.0,438(+4),[東] 和田正一,202206020306
10,5,9,ビロングゴールド,牝3,51.0,原優介,1:51.0,アタマ,39.3,8.0,470(+12),[東] 松永康利,202206020306
11,8,15,フィレンツェ,牡3,56.0,田辺裕信,1:51.0,クビ,128.2,11.0,452(+2),[東] 加藤士津,202206020306
12,2,3,グリンゴレット,牡3,56.0,斎藤新,1:51.2,1.1/4,175.5,12.0,442(0),[東] 伊藤大士,202206020306
13,4,7,キャッチザワールド,牝3,54.0,鮫島克駿,1:51.4,1.1/2,313.2,16.0,476(+6),[東] 田村康仁,202206020306
14,7,14,レッドリベリウス,牡3,56.0,菅原明良,1:51.8,2.1/2,11.3,4.0,486(-4),[東] 鹿戸雄一,202206020306
15,6,12,ハルディーン,セ3,56.0,田中勝春,1:51.8,クビ,244.7,14.0,466(-4),[東] 宗像義忠,202206020306
16,6,11,モヒート,牝3,54.0,北村宏司,1:51.9,クビ,57.5,10.0,448(0),[東] 伊藤大士,202206020306
1,7,13,エイシンヌプリ,牝3,54.0,戸崎圭太,1:14.0,,6.8,4.0,488(-8),[東] 勢司和浩,202206020307
2,4,8,ナックドロップス,牝3,54.0,野中悠太,1:14.2,1,18.0,7.0,456(-2),[東] 杉浦宏昭,202206020307
3,1,1,ダンスウィズジョイ,牝3,51.0,小林凌大,1:14.2,ハナ,27.3,10.0,432(+2),[東] 伊藤圭三,202206020307
4,2,4,オーロベルディ,牝3,54.0,宮崎北斗,1:14.2,アタマ,46.1,12.0,476(-2),[西] 池添兼雄,202206020307
5,6,12,ロープスピニング,牝3,51.0,横山琉人,1:14.2,アタマ,3.6,1.0,432(+2),[東] 武藤善則,202206020307
6,3,6,ライラボンド,牡3,56.0,長岡禎仁,1:14.3,1/2,6.0,3.0,500(-6),[西] 清水久詞,202206020307
7,2,3,アメトリーチェ,牝3,54.0,菅原明良,1:14.4,クビ,5.3,2.0,468(-4),[東] 加藤士津,202206020307
8,3,5,ストームゾーン,牡3,53.0,原優介,1:14.5,1,19.4,8.0,508(-6),[西] 杉山晴紀,202206020307
9,1,2,ハクサンパール,牝3,54.0,大野拓弥,1:14.6,1/2,18.0,6.0,428(-18),[東] 新開幸一,202206020307
10,6,11,オカンモシャチョウ,牝3,54.0,丸山元気,1:14.7,1,22.0,9.0,450(+2),[西] 森秀行,202206020307
11,4,7,ラインアルテア,牡3,56.0,丹内祐次,1:15.0,1.3/4,395.4,16.0,470(-4),[東] 武藤善則,202206020307
12,5,10,ユキヤナギ,牝3,52.0,藤田菜七,1:15.6,3.1/2,76.3,14.0,440(+2),[東] 的場均,202206020307
13,5,9,ボンクラージュ,牝3,51.0,小林脩斗,1:15.6,ハナ,69.5,13.0,436(-8),[東] 矢野英一,202206020307
14,8,15,アポロマジェスティ,牡3,56.0,勝浦正樹,1:15.8,1,35.1,11.0,468(-10),[東] 稲垣幸雄,202206020307
15,8,16,ミツカネプルート,牝3,53.0,秋山稔樹,1:16.5,4,121.6,15.0,438(-4),[東] 清水英克,202206020307
16,7,14,ビップアクア,牝3,54.0,松岡正海,1:21.1,大,6.9,5.0,434(-8),[東] 田島俊明,202206020307
1,4,7,レーヴドゥラプレリ,牝4,55.0,戸崎圭太,1:34.7,,3.7,2.0,466(+6),[東] 宮田敬介,202206020308
2,8,16,コミカライズ,牝5,55.0,田辺裕信,1:34.7,クビ,11.3,5.0,472(+2),[東] 和田勇介,202206020308
3,7,14,パラレルキャリア,牝6,55.0,石川裕紀,1:34.8,1/2,4.9,3.0,438(0),[東] 加藤征弘,202206020308
4,1,1,ヴィクトゥーラ,牡4,57.0,大野拓弥,1:35.2,2.1/2,2.7,1.0,490(-4),[東] 金成貴史,202206020308
5,5,10,ブエナベントゥーラ,牡4,57.0,藤岡佑介,1:35.3,3/4,5.6,4.0,528(0),[東] 堀宣行,202206020308
6,3,5,カルタゴ,牝4,54.0,亀田温心,1:35.4,1/2,33.4,7.0,450(+12),[東] 小島茂之,202206020308
7,2,3,フェルマーテ,牝5,52.0,西塚洸二,1:35.5,1,18.1,6.0,488(-2),[東] 戸田博文,202206020308
8,8,15,ルルローズ,牝4,55.0,北村宏司,1:35.6,クビ,49.1,8.0,466(-1),[東] 伊藤大士,202206020308
9,1,2,ブーケドフルール,牝4,55.0,田中勝春,1:35.8,1.1/2,167.8,11.0,422(-15),[東] 畠山吉宏,202206020308
10,2,4,レッドアダン,セ5,57.0,斎藤新,1:36.1,1.3/4,70.6,9.0,468(-6),[東] 尾関知人,202206020308
11,7,13,ドルフィンクエスト,牡4,57.0,杉原誠人,1:36.7,3.1/2,274.2,13.0,466(+4),[東] 伊藤大士,202206020308
12,6,11,ジュエルシーカー,牝4,55.0,内田博幸,1:36.7,ハナ,225.2,12.0,418(-8),[東] 田村康仁,202206020308
13,5,9,シゲルタイヨウ,セ5,57.0,丸田恭介,1:36.8,3/4,399.5,14.0,468(+6),[東] 堀内岳志,202206020308
14,4,8,インプレストサマー,牝4,55.0,勝浦正樹,1:37.0,1,494.0,16.0,438(-14),[東] 天間昭一,202206020308
15,3,6,レオテソーロ,牡4,55.0,藤田菜七,1:37.0,クビ,99.2,10.0,476(0),[東] 畠山吉宏,202206020308
16,6,12,スイートフェンネル,牝4,55.0,菊沢一樹,1:37.5,2.1/2,456.5,15.0,452(-5),[東] 粕谷昌央,202206020308
1,5,5,ホウオウリアリティ,牡4,54.0,大野拓弥,2:34.3,,1.8,1.0,480(-4),[東] 高木登,202206020309
2,6,6,シュブリーム,牡6,53.0,田中勝春,2:34.5,1.1/2,20.2,5.0,478(+2),[東] 大和田成,202206020309
3,1,1,アイブランコ,牡5,56.0,内田博幸,2:34.8,1.3/4,3.3,2.0,522(-8),[東] 中野栄治,202206020309
4,8,8,アスティ,セ6,54.0,丸田恭介,2:34.9,クビ,36.2,6.0,428(-4),[東] 堀内岳志,202206020309
5,7,7,ラヴィンジャー,牝6,53.0,戸崎圭太,2:35.1,1,6.2,3.0,434(+2),[東] 小島茂之,202206020309
6,2,2,フィデリオグリーン,牡6,53.0,野中悠太,2:35.7,3.1/2,74.2,7.0,502(0),[東] 根本康広,202206020309
7,4,4,イベリア,牡7,52.0,菅原明良,2:36.0,2,7.0,4.0,500(-2),[西] 橋田満,202206020309
8,3,3,ヴァンベールシチー,セ8,51.0,亀田温心,2:36.8,5,79.8,8.0,414(+2),[東] 辻哲英,202206020309
1,8,16,ホウオウルバン,牡4,55.0,内田博幸,1:52.1,,4.8,2.0,522(-2),[東] 池上昌和,202206020310
2,7,14,ノーブルシルエット,牝4,54.0,戸崎圭太,1:52.5,2.1/2,3.1,1.0,474(0),[東] 水野貴広,202206020310
3,4,7,キタノリューオー,牡4,55.0,丸山元気,1:52.6,1/2,7.9,3.0,462(+6),[東] 萱野浩二,202206020310
4,4,8,オンザライン,牡4,55.0,田辺裕信,1:52.9,2,8.7,4.0,462(+2),[東] 大和田成,202206020310
5,6,11,スギノマジェスティ,牡4,54.0,津村明秀,1:53.5,3.1/2,35.7,11.0,476(+2),[西] 上村洋行,202206020310
6,5,10,エクレルシー,牡4,54.0,藤岡佑介,1:53.6,1/2,38.7,12.0,504(+6),[東] 栗田徹,202206020310
7,6,12,カウンターエア,セ6,54.0,丸田恭介,1:53.6,ハナ,53.6,14.0,576(+12),[東] 奥村武,202206020310
8,2,4,ワイドソロモン,牡5,54.0,江田照男,1:53.8,1.1/4,54.0,15.0,498(+2),[西] 奥村豊,202206020310
9,5,9,テリオスベル,牝5,53.0,小林凌大,1:54.0,1,30.1,10.0,448(+6),[東] 田島俊明,202206020310
10,3,5,ゴールドティア,牝5,53.0,鮫島克駿,1:54.2,1.1/2,17.8,8.0,468(-8),[西] 池添学,202206020310
11,3,6,アリエノール,牝4,53.0,斎藤新,1:54.4,1,16.1,7.0,432(+8),[東] 斎藤誠,202206020310
12,8,15,マイネルアストリア,牡5,52.0,丹内祐次,1:54.8,2.1/2,158.1,16.0,524(0),[東] 武市康男,202206020310
13,1,2,ソルトイブキ,牡6,55.0,石川裕紀,1:55.9,7,24.4,9.0,488(-4),[西] 木原一良,202206020310
14,1,1,ショウリノカンパイ,牝4,52.0,松岡正海,1:55.9,クビ,44.6,13.0,484(+22),[東] 村田一誠,202206020310
